"","category_list","funding_total_usd","country_code","invest_duration","deals","ex_sd","ex_sd_5years","ex_mean_5years","IPO_mean_5years","IPO_growth_5years","MA_mean_5years","MA_growth_5years","label"
"1","Curated Web",2e+06,"CHN",0,1,2423.75249523914,1937.75412312295,7278.084,19.9166666666667,-0.481481481481481,3.41666666666667,2,"0"
"2","Analytics",33600000,"USA",148.571428571429,14,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3","Mobile",1150050,"USA",133,13,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"4","Apps",5e+06,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"1"
"5","Search",40000,"USA",0,1,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"6","Art",5e+05,"USA",0,3,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"1"
"7","Curated Web",2535000,"USA",58.7142857142857,13,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"1"
"8","Curated Web",6795451,"USA",317.285714285714,13,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"9","Local Businesses",10661772.8991108,"FRA",150.571428571429,17,354.665676198768,149.855723180665,1073.778,29.35,-0.172413793103448,20.5833333333333,0.647058823529412,"0"
"10","Cosmetics",8900000,"FRA",0,5,354.665676198768,128.062318228275,1097.19,28.25,-0.266666666666667,25.8,0.75,"0"
"11","Games",1e+07,"CHN",186.714285714286,4,2423.75249523914,1553.87805026006,8861.196,17.1833333333333,3.16666666666667,3.61666666666667,8,"0"
"12","Health Care",4e+06,"USA",46.8571428571429,6,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"13","Analytics",1250000,"USA",4,4,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"1"
"14","E-Commerce",1600000,"USA",27,2,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"15","Biotechnology",5.5e+07,"USA",0,3,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"16","Social Travel",2e+07,"CHN",0,1,2423.75249523914,1437.55268144162,8875.868,19.8333333333333,2.35,7.46666666666667,-1,"0"
"17","Health and Wellness",935000,"USA",0,5,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"18","Audio",440000,"AUS",60.7142857142857,3,515.222230010564,111.359123694469,1537.546,26.55,0.0476190476190476,31.2166666666667,0.217391304347826,"0"
"19","Health Diagnostics",794000,"USA",99.2857142857143,7,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"20","Software",378812,"GBR",0,1,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"21","Publishing",130636,"FRA",0,1,354.665676198768,292.741033628701,928.532,29.3833333333333,-0.63265306122449,18.6333333333333,0.142857142857143,"0"
